theta,unregulated_barrier,sber_style_barrier
3.286395521390524710e+00,3.872278948715929037e+00,-1.165396929689343830e+00
3.298987075112327805e+00,3.708703251881167340e+00,-7.352048510881413756e-01
3.311578628834130456e+00,3.558237460458457235e+00,-4.187261407707164595e-01
3.324170182555933106e+00,3.419045358611886964e+00,-1.794252560599693680e-01
3.336761736277736201e+00,3.289658799695718283e+00,4.247869952589682953e-03
3.349353289999538852e+00,3.168885532710869146e+00,1.463598722686403897e-01
3.361944843721341503e+00,3.055744194800714908e+00,2.567258800505437533e-01
3.374536397443144153e+00,2.949417394552916516e+00,3.424979805557175627e-01
3.387127951164947248e+00,2.849217162116141733e+00,4.090355525837545136e-01
3.399719504886749899e+00,2.754559049663902304e+00,4.604285332099612438e-01
3.412311058608552550e+00,2.664942406847314871e+00,4.998368989352536818e-01
3.424902612330355645e+00,2.579935144803971347e+00,5.297240101029632164e-01
3.437494166052158295e+00,2.499161816327210239e+00,5.520236596547389851e-01
3.450085719773960946e+00,2.422294182219656644e+00,5.682629534824832351e-01
3.462677273495763597e+00,2.349043666541586362e+00,5.796543187866678437e-01
3.475268827217566692e+00,2.279155264460344998e+00,5.871652121257548984e-01
3.487860380939369342e+00,2.212402579642306577e+00,5.915713686664509918e-01
3.500451934661171993e+00,2.148583748974703056e+00,5.934977341902507586e-01
3.513043488382975088e+00,2.087518070925227676e+00,5.934500939806018893e-01
3.525635042104777739e+00,2.029043196747312816e+00,5.918396289997553961e-01
3.538226595826580390e+00,1.973012775558251608e+00,5.890020673944261764e-01
3.550818149548383040e+00,1.919294468175358093e+00,5.852126876153276314e-01
3.563409703270186135e+00,1.867768262665163714e+00,5.806981241813004013e-01
3.576001256991988786e+00,1.818325038375938618e+00,5.756456990416680686e-01
3.588592810713791437e+00,1.770865335879301838e+00,5.702108301818108460e-01
3.601184364435594532e+00,1.725298298533115338e+00,5.645229399394147141e-01
3.613775918157397182e+00,1.681540757871720748e+00,5.586901877630141566e-01
3.626367471879199833e+00,1.639516440155859511e+00,5.528032779616814940e-01
3.638959025601002484e+00,1.599155275489190009e+00,5.469385365082483075e-01
3.651550579322805579e+00,1.560392794167801300e+00,5.411604078037035581e-01
3.664142133044608229e+00,1.523169597552804788e+00,5.355234892266004243e-01
3.676733686766410880e+00,1.487430892880123867e+00,5.300741958367276574e-01
3.689325240488213975e+00,1.453126083150865888e+00,5.248521279447770915e-01
3.701916794210016626e+00,1.420208404660795010e+00,5.198911990212351508e-01
3.714508347931819277e+00,1.388634605891465590e+00,5.152205695591159929e-01
3.727099901653621927e+00,1.358364662447754334e+00,5.108654232408957885e-01
3.739691455375425022e+00,1.329361523525439237e+00,5.068476144941638228e-01
3.752283009097227673e+00,1.301590886058984653e+00,5.031862107999830469e-01
3.764874562819030324e+00,1.275020993258089375e+00,4.998979485966772440e-01
3.777466116540833418e+00,1.249622454711501573e+00,4.969976180348947281e-01
3.790057670262636069e+00,1.225368085633705695e+00,4.944983889836114255e-01
3.802649223984438720e+00,1.202232763167180529e+00,4.924120884042633151e-01
3.815240777706241371e+00,1.180193297940272057e+00,4.907494373797804399e-01
3.827832331428044466e+00,1.159228319326763845e+00,4.895202546125618781e-01
3.840423885149847116e+00,1.139318173064924000e+00,4.887336320166977832e-01
3.853015438871649767e+00,1.120444830076799292e+00,4.883980870674534680e-01
3.865606992593452862e+00,1.102591805487644905e+00,4.885216957899371493e-01
3.878198546315255513e+00,1.085744086984461454e+00,4.891122096333849756e-01
3.890790100037058163e+00,1.069888071775054961e+00,4.901771589594738909e-01
3.903381653758860814e+00,1.055011511517614409e+00,4.917239454502309037e-01
3.915973207480663909e+00,1.041103464687888280e+00,4.937599253957434264e-01
3.928564761202466560e+00,1.028154255938713790e+00,4.962924855398878066e-01
3.941156314924269211e+00,1.016155442086687843e+00,4.993291129324691768e-01
3.953747868646072305e+00,1.005099784434786203e+00,5.028774600495323766e-01
3.966339422367874956e+00,9.949812272090823306e-01,5.069454062930047744e-01
3.978930976089677607e+00,9.857948819538029372e-01,5.115411168606505132e-01
3.991522529811480258e+00,9.775370177929214588e-01,5.166730998829581756e-01
4.004114083533282908e+00,9.702050575295672052e-01,5.223502626516723923e-01
4.016705637255086003e+00,9.637975796178732679e-01,5.285819677123817506e-01
4.029297190976889098e+00,9.583143261066844332e-01,5.353780895589671518e-01
4.041888744698691305e+00,9.537562167220772213e-01,5.427490726493299222e-01
4.054480298420494400e+00,9.501253693272151413e-01,5.507059914587808525e-01
4.067071852142297494e+00,9.474251270751995468e-01,5.592606132993410695e-01
4.079663405864099701e+00,9.456600926549150188e-01,5.684254646601134553e-01
4.092254959585902796e+00,9.448361701233116694e-01,5.782139018662375562e-01
4.104846513307705003e+00,9.449606149224174523e-01,5.886401869128650155e-01
4.117438067029508098e+00,9.460420927980986994e-01,5.997195694075456718e-01
4.130029620751311192e+00,9.480907484734628632e-01,6.114683756515153501e-01
4.142621174473113399e+00,9.511182850864533522e-01,6.239041060105080527e-01
4.155212728194916494e+00,9.551380555831644470e-01,6.370455418723597329e-01
4.167804281916719589e+00,9.601651674712969875e-01,6.509128636665579837e-01
4.180395835638521795e+00,9.662166025886389509e-01,6.655277816357242360e-01
4.192987389360324890e+00,9.733113538379458696e-01,6.809136813080785000e-01
4.205578943082127985e+00,9.814705811924597789e-01,6.970957859324028449e-01
4.218170496803930192e+00,9.907177896985149834e-01,7.141013385144140413e-01
4.230762050525733287e+00,1.001079032709527361e+00,7.319598065501855544e-01
4.243353604247536381e+00,1.012583144199758589e+00,7.507031131068295782e-01
4.255945157969338588e+00,1.025262004752775180e+00,7.703658985763819356e-01
4.268536711691141683e+00,1.039150846731946576e+00,7.909858182555623562e-01
4.281128265412943890e+00,1.054288605261790357e+00,8.126038819203057484e-01
4.293719819134746984e+00,1.070718323035426689e+00,8.352648428193795160e-01
4.306311372856550079e+00,1.088487618687637104e+00,8.590176450705961919e-01
4.318902926578352286e+00,1.107649230631254866e+00,8.839159403912054680e-01
4.331494480300155381e+00,1.128261650973728436e+00,9.100186875428437627e-01
4.344086034021958476e+00,1.150389867580823289e+00,9.373908509704130809e-01
4.356677587743760682e+00,1.174106236764634659e+00,9.661042190639453908e-01
4.369269141465563777e+00,1.199491514755006261e+00,9.962383675444699271e-01
4.381860695187366872e+00,1.226636083495570961e+00,1.027881800041018145e+00
4.394452248909169079e+00,1.255641415982906350e+00,1.061133306500068096e+00
4.407043802630972174e+00,1.286621839175213333e+00,1.096103591368883245e+00
4.419635356352775268e+00,1.319706669623513573e+00,1.132917238535865456e+00
4.432226910074577475e+00,1.355042820134484405e+00,1.171715100247975982e+00
4.444818463796380570e+00,1.392798007458279086e+00,1.212657224767282660e+00
4.457410017518182777e+00,1.433164734912054872e+00,1.255926475483046589e+00
4.470001571239985871e+00,1.476365285585079290e+00,1.301733047211526051e+00
4.482593124961788966e+00,1.522658049892905208e+00,1.350320160568445838e+00
4.495184678683591173e+00,1.572345639164663744e+00,1.401971323564009886e+00
4.507776232405394268e+00,1.625785426091771235e+00,1.457019708320371976e+00
4.520367786127197363e+00,1.683403438319130974e+00,1.515860428179914843e+00
4.532959339848999569e+00,1.745712972162364762e+00,1.578966863167740486e+00
4.545550893570802664e+00,1.813339991350165548e+00,1.646912749527298825e+00
4.558142447292605759e+00,1.887058513089817424e+00,1.720402662279153949e+00
4.570734001014407966e+00,1.967841098778781328e+00,1.800315034567782302e+00
4.583325554736211060e+00,2.056932913803947827e+00,1.887764460108222631e+00
4.595917108458014155e+00,2.155963930288412378e+00,1.984194681428626872e+00
4.608508662179816362e+00,2.267125581049273642e+00,2.091522401769349671e+00
4.621100215901619457e+00,2.393462125494977055e+00,2.212369391611680225e+00
4.633691769623421663e+00,2.539379641551063216e+00,2.350457165552247041e+00
4.646283323345224758e+00,2.711602529537156858e+00,2.511323470892168785e+00
4.658874877067027853e+00,2.921152512336324225e+00,2.703737975237187285e+00
4.671466430788830060e+00,3.188028280445962093e+00,2.942839292121331329e+00
4.684057984510633155e+00,3.554735343649743751e+00,3.258338933775260848e+00
4.696649538232436250e+00,4.141874506977021753e+00,3.722553428949818777e+00
4.709241091954238456e+00,5.751034951213600976e+00,4.616840452568737874e+00
4.721832645676041551e+00,4.652515149780195536e+00,5.425227617213864484e+00
4.734424199397844646e+00,3.805679758038006177e+00,3.980106343337288077e+00
4.747015753119646853e+00,3.354527214288343107e+00,3.412870460012487062e+00
4.759607306841449947e+00,3.045575211382845815e+00,3.053694201835479127e+00
4.772198860563253042e+00,2.810760042587608698e+00,2.790528287340334757e+00
4.784790414285055249e+00,2.621649542259261167e+00,2.582938469455247965e+00
4.797381968006858344e+00,2.463623304458585572e+00,2.411677652190689081e+00
4.809973521728660550e+00,2.328161708830942977e+00,2.266062519237573181e+00
4.822565075450463645e+00,2.209862686878731441e+00,2.139543395064095410e+00
4.835156629172266740e+00,2.105084898946044003e+00,2.027813410837811414e+00
4.847748182894068947e+00,2.011257166132009111e+00,1.927888701755643197e+00
