ref	commit	lean_source_count
refs/remotes/upstream/gl-supermatrix-graded-lie	5d8f7e0010743cb5c691d1d9bc06211bc2094d06	21299
refs/remotes/upstream/grothendieck-mathlib-functor-natiso	fa8dbb5c195f92b511a63f1f8a20cae9013cabb9	21063
refs/remotes/upstream/h3zorn-f4-basis-generation	ca84a943ff61c7cbb5ce4b78cf9ed08b63fb8832	21306
refs/remotes/upstream/h3zorn-peirce0-quadratic-representation	bfaa0f6b035bf1e86405171b528f8405d0f5c522	21302
refs/remotes/upstream/intrinsic-flag-cardinality-closure	0b9c0a0607a4388276ed7e64149a1ef14e06104c	20091
refs/remotes/upstream/logcft-natural-two-object-braiding	8c4cbe295e2e1ca92740f4b752a1792f1db170d2	21338
refs/remotes/upstream/logcft-natural-two-object-braiding-v2	3d7c9d46da87bcd29be049167c90336507b549a1	21339
refs/remotes/upstream/logcft-natural-two-object-braiding-v3	1d7ab04e8a2e0fb136a121657dfc1036290648ff	21343
refs/remotes/upstream/logcft-tensor-coherence-dag	69ff776fd673681792ea2211b34c7cd7d9c4d91a	21352
refs/remotes/upstream/main	b0fa422e6cb6d3da5be7cbbb5ecfae5c12f3237b	21298
refs/remotes/upstream/main_archived_04052026	eed5bdd0612164843d675ae846e162e8738ab01c	856
refs/remotes/upstream/mass-spectrometry-native-mathlib	0b33631de82d944a1ca2811a98837c9d92862744	21109
refs/remotes/upstream/native-tits-e8-carrier	d5820ae220616eb2e4b432373d92e2db06145956	21300
refs/remotes/upstream/nuclear-car-phonon-bdg-soloviev-closure	4f7e811bedf24831610965c10bba5c57f59fde98	21320
refs/remotes/upstream/nuclear-exceptional-artin-galois-native-mathlib	6b2b7362409dc6c282a7dc42f20101ff4773fc03	21126
refs/remotes/upstream/nuclear-fivegrade-car-ccr-soloviev-closure	918b362358c7eabd716c62b289481a38bf258a31	21306
refs/remotes/upstream/nuclear-klein-topology-native-mathlib	057ef5a011b73eac93f97045f7031d420e9554df	21128
refs/remotes/upstream/nuclear-supergeometry-native-mathlib	3481f67e85699f687e1f6e5b3847005a712d07de	21121
refs/remotes/upstream/nuclear-two-mode-fivegrade-bdg-soloviev	1416de188bb64df2568c1f6e8614c097871013df	21305
refs/remotes/upstream/o55-contact-multigrading-formalism-release	5f605e6bb6ed42e555e129820653cc766bd5966f	21344
refs/remotes/upstream/o55-contact-multigrading-formalism-v2	412d63ddbb9160b1120dd81ed9f8d1c64064ab29	21344
refs/remotes/upstream/o55-contact-multigrading-full-formalism	87630365e81abda4df07e74eff6a0cc6140c6bdf	21338
refs/remotes/upstream/o55-contact-multigrading-two-boundary	08b6473e3e5588444a490805232dc6b52e1ada4e	21335
refs/remotes/upstream/o55-d5-multigraded-two-boundary-lift	06f5e00d6205c7e9d61545692d3d79ee9332bb0a	21327
refs/remotes/upstream/openai/1331-pure-spinor-grading	f931fbc5d60efdcfeb8355937707e6b4cf51f21b	21326
refs/remotes/upstream/openai/apollonius-zorn-potential	3cfcf67694d25d38b0614105138e84162acd5560	21299
refs/remotes/upstream/openai/bkm-positivity-cramer-rao	9dcf3c592411c70cbcbcadc25b9418d6d7a7eda2	21007
refs/remotes/upstream/openai/cartan-souriau-native-amari	92b67b408cb456af0d27c849515da7c6859e7760	21299
refs/remotes/upstream/openai/circular-fock-operator-zorn	1ddf78084d3bdd131ddba95ca3adc9ebbc6f5a30	21299
refs/remotes/upstream/openai/derivation-differential-forms	015a917ed71a80483c68652fdb4adc0fd31cf47d	21312
refs/remotes/upstream/openai/hestenes-krein-gauss-bonnet	759e57fd5604086b16bbdd1243e2e4ac6554a572	21010
refs/remotes/upstream/openai/native-legendre-hodge-operator	03e2b4a8ae680b1669b91f1cf3561d9bcab22445	21035
refs/remotes/upstream/openai/nuclear-soloviev-fivegraded-bridge	76293e97d2c1c6026a71a8dc5667052f9857073d	21044
refs/remotes/upstream/openai/spectral-corridor-trust-audit	b76f36edd5e22473e21e98b25b145a0b666f849b	21063
refs/remotes/upstream/openai/zorn-local-nonlinear-reduction	e1b7bf0a6722cfcfbc1c158cbb5f92c052b0876f	21033
refs/remotes/upstream/operator-zorn-twin-cyclotomic-reconstruction	fa02115fb390b57ee55e02ee226c399a433a7c7b	21330
refs/remotes/upstream/operator-zorn-twin-weyl-klein-dirac-kahler	20fbe3294ca216fd41f2b7b20373b1b8ae3b3b66	21353
refs/remotes/upstream/penrose-ccr-triple-witt-completion	9909b7de93b1fd33e9eeab060b6d081eeb57a0cd	21305
refs/remotes/upstream/penrose-onsager-yang-condensation-core	acb82be67fdc3a8002e0c6debd2bc469412473e2	21304
refs/remotes/upstream/polarized-minkowski55-native-clifford	651b9d8afa462e5ae9b548989207099bbfdba9e4	21304
refs/remotes/upstream/polarized-zorn-symmetry-reconstruction	2bcb8fc5219abb2f627601340d53fe60116a212c	21327
refs/remotes/upstream/pr/1	6db8ed7bbcb890185a47d85656a7580faf027a32	3
refs/remotes/upstream/pr/10	f77f0f89db3910f7152891340076d5364a51bbbc	349
refs/remotes/upstream/pr/100	1ddf78084d3bdd131ddba95ca3adc9ebbc6f5a30	21299
refs/remotes/upstream/pr/101	f931fbc5d60efdcfeb8355937707e6b4cf51f21b	21326
refs/remotes/upstream/pr/102	d34ae2027603784e2c12464ad64d46dfa1f41c12	21309
refs/remotes/upstream/pr/103	b4ca2d8ac7cbdad64d45e034014ca5c58504edaf	21299
refs/remotes/upstream/pr/104	b7ca07af6a7b2947bbe4a07d786043d69dc6a06f	21299
refs/remotes/upstream/pr/105	5509123106255ab7796223c03d8cef880d79fc1c	21316
refs/remotes/upstream/pr/106	3b16bc453dd04112c4f6c4398900a3faa3f5cff8	21319
refs/remotes/upstream/pr/107	c1e0ff05ec049adba085aad14aa792551b118eda	21323
refs/remotes/upstream/pr/108	015a917ed71a80483c68652fdb4adc0fd31cf47d	21312
refs/remotes/upstream/pr/109	e040cce9d9b4f5ce47ad2ca806a64d7724c85aca	21299
refs/remotes/upstream/pr/11	a14a46e38259cfd199de0ce7764b52144ab1aadf	502
refs/remotes/upstream/pr/110	a51703bbf6eac9c9e356a5be6a941a3a35eef2d5	21299
refs/remotes/upstream/pr/111	5c1c3218589746cf871fd8ffd239d123c179a44f	21318
refs/remotes/upstream/pr/112	932cf838a43b091f43b2b9d9f3a1909c858415ab	21324
refs/remotes/upstream/pr/113	e7f4c62181348eddc5d91550eaa44475101e8060	21325
refs/remotes/upstream/pr/114	d10c5acca14bc571a8af4726f90f17acc0e947a4	21300
refs/remotes/upstream/pr/115	35437632bd2aa50e2d8b3ff5491b52fc54c8d5e8	21326
refs/remotes/upstream/pr/116	66b66aa7b02b21d125d45458f582cef963e40546	21299
refs/remotes/upstream/pr/117	203ff886f9764d2597949e1d1fc62212b0c55040	21302
refs/remotes/upstream/pr/118	d0b0c93f494d0544037e8439b6bcd741d7f9e1a4	21299
refs/remotes/upstream/pr/119	19095c5b72f0f2c351e84c7e601f77711db12ecb	21300
refs/remotes/upstream/pr/12	182b8ec413d507f0a90531f2ba1ccd05c0af1f51	1335
refs/remotes/upstream/pr/120	69ff776fd673681792ea2211b34c7cd7d9c4d91a	21352
refs/remotes/upstream/pr/121	a1f8c49886e622c0cd67842aa8456a5505ad4e98	21307
refs/remotes/upstream/pr/122	1d7ab04e8a2e0fb136a121657dfc1036290648ff	21343
refs/remotes/upstream/pr/123	fd7fde34bcced0498c0373dd56951683998aa450	21299
refs/remotes/upstream/pr/124	77fad7c7eb45b06639548599132c37ef67eb70a2	21328
refs/remotes/upstream/pr/125	96cf369654dc5f65ce2e4306c3f0c003e5615722	21299
refs/remotes/upstream/pr/126	a45b76646e5594f52725e1344b4af1645eddf047	21299
refs/remotes/upstream/pr/127	5d8f7e0010743cb5c691d1d9bc06211bc2094d06	21299
refs/remotes/upstream/pr/128	585a528bbceebf4dbb359d86b57871b9d27d138c	21299
refs/remotes/upstream/pr/129	390ba42cfcb19708c928defdca44ff8dd5bd40ce	21304
refs/remotes/upstream/pr/13	281042db1a908aafb5b35ee51efd058434a62529	1335
refs/remotes/upstream/pr/130	bedc5e7e9c4022d099086842b44e38e34ba18a98	21313
refs/remotes/upstream/pr/131	bfaa0f6b035bf1e86405171b528f8405d0f5c522	21302
refs/remotes/upstream/pr/132	31d1102d4fe96b1c781c6535ebe692314a8cb652	21314
refs/remotes/upstream/pr/133	d459eb1f7207b40b44e3b945b72e68656e68487a	21318
refs/remotes/upstream/pr/134	d5820ae220616eb2e4b432373d92e2db06145956	21300
refs/remotes/upstream/pr/135	57799efa282f6613281406b5e81e0f31e378b97f	21305
refs/remotes/upstream/pr/136	1234190ece109cbd4a98b6e60abcbb043351a6b4	21378
refs/remotes/upstream/pr/137	a1a34afa7c78a617ac6d578612a43da2ee455a93	21299
refs/remotes/upstream/pr/138	874472f609641bcc62c5476cda5e973088ac6723	21380
refs/remotes/upstream/pr/139	37d22773b506d3f9dedd33adb5259cd5480d2613	21307
refs/remotes/upstream/pr/14	70c875f9a3fdcd58b2afc074d6c317fb0ba7971e	1335
refs/remotes/upstream/pr/140	7007e0312d1c0f6ad002aa9dc50729921f65fc05	21384
refs/remotes/upstream/pr/141	58ad4742dc22cd05dcb7b289fa9f01b707431532	21386
refs/remotes/upstream/pr/142	acb82be67fdc3a8002e0c6debd2bc469412473e2	21304
refs/remotes/upstream/pr/143	9909b7de93b1fd33e9eeab060b6d081eeb57a0cd	21305
refs/remotes/upstream/pr/144	1696a541bae553fd5eb260488b470dbf2c450afd	21303
refs/remotes/upstream/pr/145	cfcace93924b61891b3c428d85b4a6a6b6f24096	21307
refs/remotes/upstream/pr/146	611403d3d75103e1b120af871a4ec99874a3c6f7	21308
refs/remotes/upstream/pr/147	4f7e811bedf24831610965c10bba5c57f59fde98	21320
refs/remotes/upstream/pr/148	b1dfa58b95c25b3f5cf913e571013dd02e681e38	21308
refs/remotes/upstream/pr/149	9027b32b9b020fa4d4e7780e64fa2f688880498b	21314
refs/remotes/upstream/pr/15	715a5e70cec9ad5c10d40b955356be8db757b05c	1335
refs/remotes/upstream/pr/150	71e683c8388acfd6101d554aaec0771cc886d2a2	21317
refs/remotes/upstream/pr/151	918b362358c7eabd716c62b289481a38bf258a31	21306
refs/remotes/upstream/pr/152	cc22376e8a7be49c98d2e42a5cbe08e25db1e25a	21329
refs/remotes/upstream/pr/153	55431fb0176b1279f696984bd7d95178cee55b25	21312
refs/remotes/upstream/pr/154	96a5970762f5a9c1ea94a949a0cd0907782f8e35	21320
refs/remotes/upstream/pr/155	9295913d0c27bdb85093c85075c278076b902fae	21322
refs/remotes/upstream/pr/156	5f605e6bb6ed42e555e129820653cc766bd5966f	21344
refs/remotes/upstream/pr/157	06f5e00d6205c7e9d61545692d3d79ee9332bb0a	21327
refs/remotes/upstream/pr/158	eb93f7405c2a8e9ad64e15c3bf172317aa960513	21322
refs/remotes/upstream/pr/159	b6a12df00f8ca18976662822021e557499072a8e	21341
refs/remotes/upstream/pr/16	ee617721fd89aba726e0289af7d99697ef85e631	1335
refs/remotes/upstream/pr/160	2bcb8fc5219abb2f627601340d53fe60116a212c	21327
refs/remotes/upstream/pr/161	651b9d8afa462e5ae9b548989207099bbfdba9e4	21304
refs/remotes/upstream/pr/162	20fbe3294ca216fd41f2b7b20373b1b8ae3b3b66	21353
refs/remotes/upstream/pr/17	0248d37ed3c784353916dacf2e4f21e5857e6622	1335
refs/remotes/upstream/pr/18	b16ee2c16689bff7bf48363bb8b057a8fc4aa257	1335
refs/remotes/upstream/pr/19	fdcf5467be59a7183b4fa47f270125eb76a53830	1335
refs/remotes/upstream/pr/2	4765d08562b620522f1d35a282aa71813622a9b3	0
refs/remotes/upstream/pr/20	c9bd8eacd70379d5081cf758e02ff7200ecbb77f	1335
refs/remotes/upstream/pr/21	4c43d5627d08ace4a3a061684f60be8291f77396	1335
refs/remotes/upstream/pr/22	db2741fcbdfbb619937a7d32df64d83483ab45ad	1611
refs/remotes/upstream/pr/23	9a77a23897e86ad2a86b5c6884f987b6fb0b919b	1802
refs/remotes/upstream/pr/24	e62f14790448d6abce7e64a33fb0a06b1e5ccc3f	4036
refs/remotes/upstream/pr/25	94b8d9b516fbb25b241cba07c18776ec9af78d20	15649
refs/remotes/upstream/pr/26	cd9cda2e72378ba6100dfb7a92d03193f7a04e70	15656
refs/remotes/upstream/pr/27	dbdd5981805b777ae570ffbfcc21ab8e5b312c1e	15649
refs/remotes/upstream/pr/28	8cd3e260a44326d0ecb286d86c8da8f132fdb397	15657
refs/remotes/upstream/pr/29	63749f0e6e457d5ce332b5c0d85532776d11b397	15654
refs/remotes/upstream/pr/3	fdf3f031a11afbad94439ca0920278b9df00729c	90
refs/remotes/upstream/pr/30	1901d262d094a63726d80b8a6f8ba9bde5301933	15654
refs/remotes/upstream/pr/31	64b05a2fac1a002035edd38c4154e7b7af8f46b1	15654
refs/remotes/upstream/pr/32	1ee229d658f9939db8a067b7bacbe274baf05df8	19553
refs/remotes/upstream/pr/33	8a4531fc2820bd378d4996bca0ae8ee7b4df9319	19707
refs/remotes/upstream/pr/34	3033e9cce35ad71b11b47d9ccda90a292efca883	19707
refs/remotes/upstream/pr/35	a2b0af4c50550febf1a46b2eb696c05e9dbf1abd	19706
refs/remotes/upstream/pr/36	791d786baa3d83ae7710fb0f2ab29261d0d6c7e4	19708
refs/remotes/upstream/pr/37	b1b282db38bb776a695f541ad0372501721add1e	19768
refs/remotes/upstream/pr/38	fb42b52dde5cf63f650e027f25be2ebff1ac891f	19768
refs/remotes/upstream/pr/39	a4f1f9c81ed3d1b36b311df285c442e87a178060	19769
refs/remotes/upstream/pr/4	03340e23fc58e4ec7ed7770e668a94cd782f5569	233
refs/remotes/upstream/pr/40	1c9296db2ec1f4f97853e0304599ad9e53b68fa5	19768
