score10	date	path	module	total_importers	canonical_importers	in_canonical_all	days_stale
0081	2026-03-06	lean/InfoGeometry/Canonical/NoetherInference.lean	InfoGeometry.Canonical.NoetherInference	0	0	0	1
0081	2026-03-06	lean/InfoGeometry/Canonical/ModularSpinorBridge.lean	InfoGeometry.Canonical.ModularSpinorBridge	0	0	0	1
0080	2026-02-25	lean/InfoGeometry/KL/Finite.lean	InfoGeometry.KL.Finite	6	2	0	10
0079	2026-02-22	lean/InfoGeometry/Core/GrandCanonical.lean	InfoGeometry.Core.GrandCanonical	2	0	0	13
0078	2026-02-22	lean/InfoGeometry/Convex/Legendre.lean	InfoGeometry.Convex.Legendre	3	1	0	13
0077	2026-02-21	lean/InfoGeometry/Core/Entropy.lean	InfoGeometry.Core.Entropy	1	0	0	14
0076	2026-02-28	lean/InfoGeometry/KL/EntropicInferenceTest.lean	InfoGeometry.KL.EntropicInferenceTest	1	1	1	7
0076	2026-02-21	lean/InfoGeometry/Convex/ProjectiveRays.lean	InfoGeometry.Convex.ProjectiveRays	2	1	0	14
0076	2026-02-21	lean/InfoGeometry/Convex/Duality.lean	InfoGeometry.Convex.Duality	2	1	0	14
0075	2026-02-22	lean/InfoGeometry/Basic.lean	InfoGeometry.Basic	10	2	0	13
0075	2026-02-21	lean/InfoGeometry/Projective/Rays.lean	InfoGeometry.Projective.Rays	5	1	0	14
0075	2026-02-19	lean/InfoGeometry/Convex/RadonHelly.lean	InfoGeometry.Convex.RadonHelly	1	1	0	16
0072	2026-02-22	lean/InfoGeometry/Convex/FenchelConjugate.lean	InfoGeometry.Convex.FenchelConjugate	1	1	0	13
0072	2026-02-21	lean/InfoGeometry/Geometry/LegendreDuality.lean	InfoGeometry.Geometry.LegendreDuality	2	2	0	14
0072	2026-02-21	lean/InfoGeometry/Geometry/DualFlat.lean	InfoGeometry.Geometry.DualFlat	2	2	0	14
0072	2026-02-21	lean/InfoGeometry/Clifford/Relations.lean	InfoGeometry.Clifford.Relations	2	2	0	14
0071	2026-02-25	lean/InfoGeometry/Core.lean	InfoGeometry.Core	3	2	1	10
0071	2026-02-22	lean/InfoGeometry/Projective/LogSum.lean	InfoGeometry.Projective.LogSum	4	1	0	13
0071	2026-02-19	lean/InfoGeometry/Potential/LogPotential.lean	InfoGeometry.Potential.LogPotential	5	0	0	16
0071	2026-02-19	lean/InfoGeometry/MaxEnt/Optimality.lean	InfoGeometry.MaxEnt.Optimality	3	1	0	16
0069	2026-02-21	lean/InfoGeometry/Thermo/Gibbs.lean	InfoGeometry.Thermo.Gibbs	3	1	0	14
